id,part,step,metaphor,style,time
5e971b,B,16,diverge,plain,5972
5e971b,B,17,converge,plain,13088
5e971b,B,18,converge,arrow,6659
5e971b,B,19,cross,arrow,6038
5e971b,B,20,cross,arrow,11022
5e971b,B,21,diverge,arrow,23587
5e971b,B,22,diverge,arrow,4840
5e971b,B,23,diverge,arrow,13111
5e971b,B,24,cross,arrow,10807
5e971b,B,25,cross,animate,12347
5e971b,B,26,converge,plain,15536
5e971b,B,27,cross,animate,7070
61a414,B,1,converge,arrow,32628
61a414,B,2,converge,plain,28946
61a414,B,3,diverge,plain,33987
61a414,B,4,converge,plain,36971
61a414,B,5,diverge,plain,39216
61a414,B,6,cross,animate,23707
61a414,B,7,cross,animate,28866
61a414,B,8,cross,plain,29337
61a414,B,9,diverge,plain,10402
61a414,B,10,cross,arrow,18403
61a414,B,11,diverge,animate,13346
61a414,B,12,diverge,arrow,74266
61a414,B,13,converge,plain,16922
61a414,B,14,cross,plain,8683
61a414,B,15,converge,arrow,21407
61a414,B,16,cross,animate,17034
61a414,B,17,cross,arrow,42988
61a414,B,18,cross,arrow,25988
61a414,B,19,converge,animate,14854
61a414,B,20,diverge,animate,14705
61a414,B,21,cross,plain,24713
61a414,B,22,diverge,animate,6859
61a414,B,23,converge,arrow,17066
61a414,B,24,converge,animate,20632
61a414,B,25,diverge,arrow,25219
61a414,B,26,converge,animate,17738
61a414,B,27,diverge,arrow,17907
721134,B,1,converge,arrow,18526
721134,B,2,diverge,arrow,8275
721134,B,3,cross,animate,20524
721134,B,4,cross,plain,16760
721134,B,5,diverge,animate,13427
721134,B,6,diverge,plain,8554
721134,B,7,cross,arrow,11215
721134,B,8,converge,animate,28335
721134,B,9,cross,plain,6235
721134,B,10,converge,animate,12864
721134,B,11,converge,arrow,17086
721134,B,12,cross,animate,20288
721134,B,13,cross,arrow,10073
721134,B,14,diverge,animate,7124
721134,B,15,cross,plain,11684
721134,B,16,cross,arrow,6952
721134,B,17,converge,plain,19656
721134,B,18,cross,animate,11907
721134,B,19,diverge,animate,7440
721134,B,20,converge,plain,17764
721134,B,21,converge,plain,16674
721134,B,22,diverge,arrow,13870
721134,B,23,diverge,arrow,10634
721134,B,24,converge,animate,5301
721134,B,25,diverge,plain,5273
721134,B,26,diverge,plain,4700
721134,B,27,converge,arrow,4975
915dff,B,1,diverge,plain,20566
915dff,B,2,diverge,arrow,17838
915dff,B,3,converge,arrow,32579
915dff,B,4,diverge,animate,11510
915dff,B,5,cross,arrow,9463
915dff,B,6,converge,plain,10651
915dff,B,7,converge,plain,10013
915dff,B,8,diverge,animate,9208
915dff,B,9,converge,animate,10160
915dff,B,10,converge,animate,8486
915dff,B,11,converge,plain,8078
915dff,B,12,cross,plain,7153
915dff,B,13,diverge,arrow,5511
915dff,B,14,cross,animate,9019
915dff,B,15,converge,arrow,6304
915dff,B,16,diverge,arrow,8137
915dff,B,17,cross,arrow,7751
915dff,B,18,cross,animate,11679
915dff,B,19,cross,animate,7990
915dff,B,20,diverge,animate,9371
915dff,B,21,cross,arrow,3506
915dff,B,22,diverge,plain,13623
915dff,B,23,diverge,plain,7454
915dff,B,24,cross,plain,12616
915dff,B,25,converge,animate,5805
915dff,B,26,cross,plain,5967
915dff,B,27,converge,arrow,8044
ada443,B,1,converge,plain,55230
ada443,B,2,diverge,animate,31264
ada443,B,3,converge,animate,17718
ada443,B,4,diverge,plain,25267
ada443,B,5,diverge,plain,22726
ada443,B,6,diverge,animate,12658
ada443,B,7,diverge,plain,20476
ada443,B,8,cross,plain,46465
ada443,B,9,cross,arrow,21901
ada443,B,10,cross,plain,17812
ada443,B,11,diverge,animate,9353
ada443,B,12,diverge,arrow,13225
ada443,B,13,converge,arrow,13251
ada443,B,14,converge,plain,9477
ada443,B,15,converge,animate,11021
ada443,B,16,diverge,arrow,19950
ada443,B,17,cross,animate,21770
ada443,B,18,converge,arrow,10188
ada443,B,19,converge,arrow,12209
ada443,B,20,converge,plain,10319
ada443,B,21,cross,animate,6215
ada443,B,22,cross,plain,11872
ada443,B,23,cross,arrow,13253
ada443,B,24,cross,animate,13572
ada443,B,25,diverge,arrow,16774
ada443,B,26,cross,arrow,16214
ada443,B,27,converge,animate,14981
cac3e5,B,1,converge,plain,85281
cac3e5,B,2,diverge,plain,47435
cac3e5,B,3,cross,plain,42834
cac3e5,B,4,converge,animate,50316
cac3e5,B,5,diverge,arrow,31937
cac3e5,B,6,diverge,plain,50482
cac3e5,B,7,converge,arrow,32186
cac3e5,B,8,converge,plain,69666
cac3e5,B,9,diverge,arrow,32829
cac3e5,B,10,converge,arrow,36104
cac3e5,B,11,converge,animate,48624
cac3e5,B,12,converge,arrow,46157
cac3e5,B,13,cross,plain,54945
cac3e5,B,14,cross,arrow,30511
cac3e5,B,15,cross,arrow,50940
cac3e5,B,16,cross,arrow,46040
cac3e5,B,17,diverge,plain,26470
cac3e5,B,18,cross,plain,27918
cac3e5,B,19,converge,animate,13980
cac3e5,B,20,diverge,arrow,34356
cac3e5,B,21,diverge,animate,22083
cac3e5,B,22,diverge,animate,18049
cac3e5,B,23,cross,animate,20692
cac3e5,B,24,diverge,animate,12588
cac3e5,B,25,cross,animate,23567
cac3e5,B,26,cross,animate,27352
cac3e5,B,27,converge,plain,27890
